"Size","NumberOfUnions","Time(s)","IsConnectTime(s)"
100000,10000,0.0032726,0.0015182
100000,15000,0.0012392,9.143E-4
100000,20000,9.614E-4,8.365E-4
100000,25000,0.0015392,0.0016374
100000,30000,0.00148,0.0015771
100000,35000,0.0018714,0.0020284
100000,40000,0.0030428,0.0039298
100000,45000,0.0026844,0.0050334
100000,50000,0.0028084,0.0052056
100000,55000,0.0035706,0.0383189
100000,60000,0.017489,0.226249
100000,65000,0.0634555,0.6233092
100000,70000,0.1652577,1.3361253
100000,75000,0.3767677,2.3134001
100000,80000,0.6401059,3.8029681
100000,85000,0.9231399,4.8542029
100000,90000,1.3415081,6.3164341
"-------------------------------------------------------"
118750,11875,3.864E-4,3.724E-4
118750,17813,5.858E-4,5.53E-4
118750,23751,7.253E-4,7.541E-4
118750,29689,9.358E-4,9.743E-4
118750,35627,0.0012293,0.0015967
118750,41565,0.0013514,0.0017906
118750,47503,0.0016931,0.0022104
118750,53441,0.0018169,0.0027076
118750,59379,0.0021998,0.0036898
118750,65317,0.003619,0.0295078
118750,71255,0.0245288,0.2795498
118750,77193,0.088868,0.9762062
118750,83131,0.25427,2.2398969
118750,89069,0.4941463,3.6910429
118750,95007,0.9439576,5.8446247
118750,100945,1.503658,7.820316
"-------------------------------------------------------"
137500,13750,4.153E-4,3.635E-4
137500,20625,6.078E-4,5.756E-4
137500,27500,8.246E-4,8.363E-4
137500,34375,0.0011752,0.0011311
137500,41250,0.0014084,0.0014815
137500,48125,0.001584,0.0023707
137500,55000,0.0018533,0.0024284
137500,61875,0.0023201,0.0036228
137500,68750,0.0038195,0.0060482
137500,75625,0.0054163,0.0544676
137500,82500,0.0329353,0.3947336
137500,89375,0.1417725,1.4460661
137500,96250,0.3786635,3.2052027
137500,103125,0.8270519,5.8310734
137500,110000,1.4108266,8.2909668
137500,116875,2.2210574,11.7425379
137500,123750,3.1770314,14.4678795
"-------------------------------------------------------"
156250,15625,5.117E-4,4.898E-4
156250,23438,7.594E-4,7.741E-4
156250,31251,9.056E-4,9.556E-4
156250,39064,0.0012137,0.0013347
156250,46877,0.0015913,0.001971
156250,54690,0.0020491,0.0029193
156250,62503,0.0021194,0.0029813
156250,70316,0.0029309,0.0047463
156250,78129,0.0048697,0.0089049
156250,85942,0.0065239,0.0690581
156250,93755,0.0511854,0.6415424
156250,101568,0.2359896,2.0165392
156250,109381,0.529692,4.5902697
156250,117194,1.1826983,8.2899709
156250,125007,2.0338489,11.0279474
156250,132820,3.1111846,15.321748
"-------------------------------------------------------"
175000,17500,5.823E-4,4.905E-4
175000,26250,7.461E-4,7.653E-4
175000,35000,0.0010672,0.0011035
175000,43750,0.001399,0.0015664
175000,52500,0.0017016,0.0020395
175000,61250,0.0020654,0.0024934
175000,70000,0.002484,0.004076
175000,78750,0.0041661,0.0071799
175000,87500,0.0065154,0.0100855
175000,96250,0.0108851,0.1188153
175000,105000,0.0510908,0.6851456
175000,113750,0.2543897,2.7996413
175000,122500,0.7291388,6.3439629
175000,131250,1.6252279,10.9173794
175000,140000,2.5911704,14.2774649
175000,148750,3.9870934,19.5145168
175000,157500,5.7362377,26.4989016
"-------------------------------------------------------"
193750,19375,6.69E-4,6.062E-4
193750,29063,0.0010334,0.0010261
193750,38751,0.001224,0.0019171
193750,48439,0.0016504,0.00288
193750,58127,0.0021179,0.0038782
193750,67815,0.0045583,0.0042191
193750,77503,0.0043089,0.0091993
193750,87191,0.0053883,0.0107141
193750,96879,0.0063816,0.0119221
193750,106567,0.0093413,0.1187933
193750,116255,0.0681538,0.9517094
193750,125943,0.3649133,3.8221593
193750,135631,0.8957641,7.4253031
193750,145319,2.2435987,13.7008421
193750,155007,3.276815,18.1060148
193750,164695,5.1245575,25.5236614
"-------------------------------------------------------"
212500,21250,0.0010518,0.0010354
212500,31875,0.0012302,0.0010912
212500,42500,0.0015672,0.0019305
212500,53125,0.0063282,0.00445
212500,63750,0.0059298,0.0057932
212500,74375,0.0045145,0.0076311
212500,85000,0.0068362,0.0123122
212500,95625,0.0075855,0.0159952
212500,106250,0.013762,0.027961
212500,116875,0.0153848,0.2057801
212500,127500,0.101965,1.5119414
212500,138125,0.4461242,4.680186
212500,148750,1.1902098,10.5257286
212500,159375,2.6218065,17.3225175
212500,170000,4.0016237,22.2340433
212500,180625,6.038675,30.1600925
212500,191250,8.6811586,39.1048398
"-------------------------------------------------------"
231250,23125,8.964E-4,7.552E-4
231250,34688,0.0011166,0.0010681
231250,46251,0.0015988,0.0016026
231250,57814,0.0018659,0.0020484
231250,69377,0.0022534,0.0026658
231250,80940,0.0027401,0.0034378
231250,92503,0.0032726,0.0044627
231250,104066,0.0047216,0.0068364
231250,115629,0.0065419,0.0132149
231250,127192,0.0120644,0.1518426
231250,138755,0.1143426,1.6407484
231250,150318,0.4969435,5.4207575
231250,161881,1.4725098,11.155878
231250,173444,3.0366428,18.6370369
231250,185007,5.0352894,28.8470309
231250,196570,7.4595029,36.8111443
"-------------------------------------------------------"
250000,25000,7.872E-4,7.129E-4
250000,37500,0.0011085,0.0011218
250000,50000,0.0015503,0.0016315
250000,62500,0.0019968,0.0022039
250000,75000,0.0024539,0.0029864
250000,87500,0.0029719,0.0037775
250000,100000,0.0035683,0.0048849
250000,112500,0.00434,0.006563
250000,125000,0.0051244,0.0097195
250000,137500,0.0124644,0.2206722
250000,150000,0.1264599,1.8395052
250000,162500,0.6769928,6.5864115
250000,175000,1.6883886,13.3109211
250000,187500,3.5211429,23.5376166
250000,200000,6.1844619,32.4572611
250000,212500,8.8301108,44.3903359
250000,225000,12.5080334,58.8328066
"-------------------------------------------------------"
